Station,Occurrences,Latitude,Longitude
Public Rack - Woodlawn Ave & 63rd St N,175,41.78,-87.6
Pine Grove Ave & Irving Park Rd,16533,41.954383,-87.648043
Racine Ave & 13th St,1114,41.865015,-87.65698116666667
Narragansett & Irving Park,506,41.95,-87.79
Meade Ave & Addison St,129,41.95,-87.78
Smith Park,2018,41.892048,-87.689397
Winchester (Ravenswood) Ave & Balmoral Ave,2337,41.979811668,-87.677551985
Public Rack - Washtenaw Ave & Devon Ave,391,42.0,-87.7
State St & 95th St,903,41.721614833333334,-87.62281083333333
Paulina St & 18th St,5163,41.857921839,-87.668645978
Fairfield Ave & 44th St,260,41.81,-87.69
Eggleston Ave & 69th St,325,41.768898,-87.635876
Southport Ave & Belmont Ave,13095,41.93947775040509,-87.6637476682663
Western Ave & Monroe St,2492,41.8797877089,-87.686112808
Evanston Civic Center,1304,42.056989074,-87.686560988
,834545,41.91,-87.63
Halsted St & Clybourn Ave,22471,41.909668,-87.648128
Sheridan Rd & Noyes St (NU),6465,42.058239,-87.677432
Glenwood Ave & Touhy Ave,2233,42.012879729,-87.666021109
Broadway & Wilson Ave,5610,41.965221,-87.658139
Damen Ave & Clybourn Ave,4988,41.931847811,-87.677759647
Desplaines St & Randolph St,11668,41.88461618962,-87.6445705849
Damen Ave & Wellington Ave,5563,41.93588,-87.67842
Western Ave & Ardmore Ave,229,41.99,-87.69
Loomis St & Archer Ave,1484,41.841676593,-87.657447815
Clinton St & Polk St,1185,41.87146651779,-87.6409491327
Clybourn Ave & Division St,7864,41.904593166666665,-87.64061316666667
Stony Island Ave & 64th St,474,41.778881,-87.586647
Clinton St & Madison St,27011,41.882873178,-87.64174509
Ashland Ave & Wrightwood Ave,6232,41.92883,-87.668507
Greenwood Ave & 97th St,228,41.718712687,-87.596968651
Wabash Ave & 9th St,14930,41.870769,-87.625734
California & 16th St,178,41.86,-87.7
Princeton Ave & 47th St,809,41.809390306,-87.633447051
Dauphin Ave & 103rd St,135,41.707330166666665,-87.60763366666667
Cottage Grove Ave & 63rd St,1512,41.78053094070882,-87.6059702038765
Lamon Ave & Armitage Ave,311,41.92,-87.75
Millard Ave & 26th St,439,41.84453112462163,-87.71592199802399
Central Park Ave & 24th St,425,41.848094225,-87.715147376
Halsted St & Maxwell St,11896,41.864883,-87.647071
Campbell Ave & Montrose Ave,3160,41.961524,-87.691177
Troy St & Elston Ave,2474,41.94524356848,-87.7066499009
Sheffield Ave & Wellington Ave,18763,41.93627983333333,-87.65263633333333
California Ave & Milwaukee Ave,13490,41.922695,-87.697153
Lincoln Ave & Roscoe St*,7357,41.9433502470174,-87.67066776752472
California Ave & 23rd Pl,744,41.84910969176,-87.6951398068
Meade Ave & Diversey Ave,319,41.93,-87.78
Morgan Ave & 14th Pl,5235,41.862333166666666,-87.65111316666666
Clinton St & Roosevelt Rd,8916,41.86708343,-87.640980244
Wabash Ave & Adams St,10152,41.87947235235,-87.6256886059
Campbell Ave & Montrose Ave (Temp),208,41.961484,-87.692321
DuSable Lake Shore Dr & Monroe St,40982,41.880958,-87.616743
California Ave & 26th St,370,41.8436799145765,-87.69496858119965
Cornell Ave & Hyde Park Blvd,8260,41.802229524,-87.586810827
Halsted St & Wrightwood Ave,21176,41.929143,-87.649077
Lincoln Ave & Peterson Ave,566,41.99,-87.71
Carpenter St & Huron St,11793,41.89460659,-87.653461456
Hermitage Ave & Polk St,6287,41.871519446,-87.669902682
Ashland Ave & Augusta Blvd,7344,41.899643,-87.6677
Princeton Ave & Garfield Blvd,451,41.794968843,-87.633119702
Cherry Ave & Blackhawk St,2371,41.907297611,-87.655711174
Halsted St & 96th St,407,41.719712183618824,-87.6430195569992
Public Rack - Kildare Ave & Washignton Blvd,3,41.88,-87.73
Michigan Ave & Madison St,10805,41.882108569,-87.625242591
Public Rack - Christiana Ave & Belmont Ave,369,41.94,-87.71
Tripp Ave & 15th St,46,41.86,-87.73
